Transaction,Purchase Date,Customer ID,Gender,Marital Status,Homeowner,Children,Annual Income,City,State or Province,Country,Product Family,Product Department,Product Category,Units Sold,Revenue
46,2022,4239,F,S,Y,4,$50K - $70K,Tacoma,WA,USA,Non-Consumable,Health and Hygiene,Hygiene,4,2.39
47,2022,6960,F,M,Y,3,$150K +,Tacoma,WA,USA,Non-Consumable,Household,Kitchen Products,5,16.37
48,2022,9812,F,M,Y,2,$50K - $70K,Salem,OR,USA,Food,Dairy,Dairy,5,24.38
49,2022,4279,F,M,Y,1,$50K - $70K,Beverly Hills,CA,USA,Food,Baking Goods,Baking Goods,4,9.23
50,2022,1940,F,M,Y,1,$90K - $110K,Salem,OR,USA,Non-Consumable,Health and Hygiene,Bathroom Products,3,10.85
51,2022,3799,F,S,Y,2,$30K - $50K,Salem,OR,USA,Food,Baking Goods,Baking Goods,5,14.87
52,2022,566,M,S,N,5,$10K - $30K,Walla Walla,WA,USA,Food,Produce,Vegetables,2,3.53
53,2022,5125,F,S,N,2,$30K - $50K,Tacoma,WA,USA,Food,Deli,Meat,6,10.21
54,2022,10026,F,S,N,3,$10K - $30K,Salem,OR,USA,Food,Frozen Foods,Vegetables,5,10.07
55,2022,2533,M,M,Y,1,$50K - $70K,Beverly Hills,CA,USA,Food,Frozen Foods,Meat,5,14.52
56,2022,7733,M,S,Y,5,$10K - $30K,Salem,OR,USA,Non-Consumable,Household,Hardware,4,40.83
57,2022,3533,F,M,Y,1,$30K - $50K,Bremerton,WA,USA,Non-Consumable,Household,Plastic Products,4,2.94
58,2022,3490,F,M,Y,1,$10K - $30K,Salem,OR,USA,Food,Dairy,Dairy,3,23.13
59,2022,9125,M,S,N,3,$50K - $70K,Salem,OR,USA,Food,Produce,Specialty,3,17.95
60,2022,10070,F,M,Y,2,$50K - $70K,Salem,OR,USA,Food,Dairy,Dairy,3,6.88
61,2022,3533,F,M,Y,1,$30K - $50K,Bremerton,WA,USA,Food,Canned Foods,Vegetables,5,6.2
62,2022,1596,M,M,Y,2,$70K - $90K,San Diego,CA,USA,Food,Baking Goods,Baking Goods,3,2.78
63,2022,8248,M,S,Y,3,$10K - $30K,Beverly Hills,CA,USA,Food,Canned Foods,Canned Sardines,6,14.96
64,2022,3197,F,S,N,5,$50K - $70K,Yakima,WA,USA,Food,Produce,Fruit,5,34.56
65,2022,2061,M,M,Y,3,$10K - $30K,Bremerton,WA,USA,Food,Baked Goods,Bread,5,11.05
66,2022,5590,M,M,N,5,$110K - $130K,Tacoma,WA,USA,Non-Consumable,Checkout,Miscellaneous,4,6.28
67,2022,760,F,S,Y,0,$150K +,Bremerton,WA,USA,Food,Baking Goods,Baking Goods,5,4.79
68,2022,753,F,S,Y,1,$90K - $110K,Bremerton,WA,USA,Non-Consumable,Health and Hygiene,Hygiene,3,7.28
69,2022,2327,F,M,Y,4,$10K - $30K,Salem,OR,USA,Food,Snack Foods,Snack Foods,4,11.04
70,2022,7576,F,M,Y,1,$50K - $70K,Salem,OR,USA,Food,Baked Goods,Bread,5,5.67
71,2022,864,F,S,Y,3,$90K - $110K,San Diego,CA,USA,Food,Meat,Meat,5,16.39
72,2022,8593,M,M,Y,2,$110K - $130K,Beverly Hills,CA,USA,Non-Consumable,Health and Hygiene,Hygiene,5,4.29
73,2022,711,F,M,Y,2,$30K - $50K,Tacoma,WA,USA,Food,Canned Foods,Canned Sardines,4,23.58
74,2022,6460,M,M,N,2,$10K - $30K,San Diego,CA,USA,Food,Canned Foods,Canned Soup,4,21.47
75,2022,1216,M,S,N,1,$70K - $90K,Tacoma,WA,USA,Food,Produce,Fruit,3,5.35
76,2022,2997,M,M,N,4,$10K - $30K,Seattle,WA,USA,Non-Consumable,Household,Cleaning Supplies,6,17.57
77,2022,4925,F,S,Y,0,$50K - $70K,Spokane,WA,USA,Food,Frozen Foods,Pizza,6,35.26
78,2022,2198,F,S,Y,3,$50K - $70K,Salem,OR,USA,Non-Consumable,Household,Cleaning Supplies,3,17.28
79,2022,6021,F,S,Y,4,$50K - $70K,Salem,OR,USA,Non-Consumable,Health and Hygiene,Decongestants,5,8.35
80,2022,2390,F,M,Y,3,$30K - $50K,Tacoma,WA,USA,Food,Deli,Meat,3,11.04
81,2022,240,M,M,N,2,$30K - $50K,Los Angeles,CA,USA,Food,Produce,Vegetables,4,17.52
82,2022,7354,F,M,Y,3,$10K - $30K,Bremerton,WA,USA,Food,Snack Foods,Snack Foods,6,16.05
83,2022,4396,F,M,Y,3,$130K - $150K,Salem,OR,USA,Non-Consumable,Household,Hardware,5,25.27
84,2022,7823,F,M,Y,5,$10K - $30K,Los Angeles,CA,USA,Food,Dairy,Dairy,4,36.5
85,2022,76,F,S,N,1,$70K - $90K,Bremerton,WA,USA,Non-Consumable,Household,Electrical,5,17.7
86,2022,3849,M,M,Y,4,$30K - $50K,Seattle,WA,USA,Food,Snacks,Candy,6,24.9
87,2022,7493,F,M,Y,3,$110K - $130K,San Diego,CA,USA,Food,Starchy Foods,Starchy Foods,4,36.48
88,2022,1193,F,S,Y,0,$90K - $110K,Salem,OR,USA,Food,Canned Foods,Canned Tuna,5,6.53
89,2022,1429,F,S,N,4,$30K - $50K,Salem,OR,USA,Food,Snack Foods,Snack Foods,6,14.06
90,2022,4544,F,M,Y,4,$70K - $90K,Los Angeles,CA,USA,Food,Dairy,Dairy,5,12.78
91,2022,1275,M,S,N,4,$10K - $30K,San Diego,CA,USA,Non-Consumable,Health and Hygiene,Hygiene,4,1.56
92,2022,1681,F,M,Y,5,$70K - $90K,Salem,OR,USA,Food,Snack Foods,Snack Foods,5,29.63
93,2022,4315,M,S,N,2,$30K - $50K,Tacoma,WA,USA,Food,Snack Foods,Snack Foods,4,11.32
94,2022,9175,F,S,Y,2,$90K - $110K,San Diego,CA,USA,Food,Snack Foods,Snack Foods,5,1.8
95,2022,8054,F,M,Y,0,$10K - $30K,Seattle,WA,USA,Food,Deli,Side Dishes,3,5.04
96,2022,7702,M,S,N,2,$30K - $50K,Spokane,WA,USA,Food,Breakfast Foods,Breakfast Foods,4,3.61
97,2022,769,F,S,N,4,$30K - $50K,Spokane,WA,USA,Food,Dairy,Dairy,4,12.58
98,2022,20,F,S,Y,2,$10K - $30K,San Diego,CA,USA,Non-Consumable,Household,Cleaning Supplies,3,19.49
99,2022,6348,M,M,Y,2,$10K - $30K,Spokane,WA,USA,Food,Frozen Foods,Pizza,6,4.61
100,2022,7622,F,S,N,1,$50K - $70K,Bremerton,WA,USA,Non-Consumable,Checkout,Miscellaneous,6,11.04
101,2022,4021,M,M,N,3,$30K - $50K,Spokane,WA,USA,Non-Consumable,Health and Hygiene,Bathroom Products,5,4.68
102,2022,2086,M,M,N,1,$10K - $30K,Salem,OR,USA,Non-Consumable,Household,Paper Products,3,25.52
103,2022,8862,M,S,N,1,$30K - $50K,Portland,OR,USA,Food,Snack Foods,Snack Foods,4,6.8
104,2022,1429,F,S,N,4,$30K - $50K,Salem,OR,USA,Food,Snack Foods,Snack Foods,2,12.7
105,2022,8289,M,S,Y,4,$10K - $30K,Tacoma,WA,USA,Food,Baking Goods,Jams and Jellies,3,8.09
106,2022,4544,F,M,Y,4,$70K - $90K,Los Angeles,CA,USA,Food,Deli,Meat,3,7.06
107,2022,4564,M,S,N,4,$10K - $30K,Tacoma,WA,USA,Non-Consumable,Health and Hygiene,Hygiene,4,2.86
108,2022,6713,M,M,N,2,$30K - $50K,Salem,OR,USA,Food,Snack Foods,Snack Foods,4,19.66
109,2022,7569,F,M,Y,0,$30K - $50K,Salem,OR,USA,Food,Produce,Vegetables,4,5.04
110,2022,3593,F,M,Y,2,$150K +,Bremerton,WA,USA,Food,Deli,Meat,3,9.94
111,2022,1254,F,M,N,0,$90K - $110K,Seattle,WA,USA,Food,Breakfast Foods,Breakfast Foods,4,24.11
112,2022,8818,M,S,N,2,$30K - $50K,Seattle,WA,USA,Drink,Alcoholic Beverages,Beer and Wine,5,29.64
113,2022,5499,M,M,Y,4,$70K - $90K,Portland,OR,USA,Food,Baking Goods,Baking Goods,2,14.76
114,2022,5649,M,M,Y,3,$10K - $30K,Bellingham,WA,USA,Food,Baking Goods,Jams and Jellies,4,9.68
115,2022,2924,M,S,N,5,$30K - $50K,Bremerton,WA,USA,Food,Canned Foods,Canned Tuna,5,23.27
116,2022,3861,F,M,Y,4,$30K - $50K,San Francisco,CA,USA,Food,Deli,Meat,2,7.15
117,2022,4396,F,M,Y,3,$130K - $150K,Salem,OR,USA,Food,Baking Goods,Baking Goods,3,10.92
118,2022,3313,M,M,Y,0,$30K - $50K,Seattle,WA,USA,Food,Frozen Foods,Breakfast Foods,3,10.96
119,2022,10213,M,S,Y,2,$30K - $50K,Beverly Hills,CA,USA,Food,Dairy,Dairy,4,10.13
120,2022,2331,F,S,Y,4,$90K - $110K,San Diego,CA,USA,Food,Frozen Foods,Vegetables,3,11.99
121,2022,9044,M,M,N,3,$30K - $50K,Los Angeles,CA,USA,Food,Starchy Foods,Starchy Foods,5,27.65
122,2022,9459,F,S,Y,4,$50K - $70K,Portland,OR,USA,Food,Produce,Vegetables,3,25.2
123,2022,3938,M,S,N,4,$30K - $50K,Salem,OR,USA,Non-Consumable,Household,Kitchen Products,5,14.54
124,2022,10240,F,S,Y,3,$130K - $150K,Bremerton,WA,USA,Food,Snack Foods,Snack Foods,4,11.27
125,2022,780,M,S,Y,5,$110K - $130K,Salem,OR,USA,Food,Frozen Foods,Pizza,3,21.87
126,2022,6760,F,M,Y,2,$50K - $70K,Tacoma,WA,USA,Food,Dairy,Dairy,4,14.26
127,2022,28,F,S,Y,1,$10K - $30K,Seattle,WA,USA,Food,Frozen Foods,Breakfast Foods,4,11.04
128,2022,1147,F,S,Y,3,$30K - $50K,Salem,OR,USA,Food,Produce,Vegetables,4,10.43
129,2022,6021,F,S,Y,4,$50K - $70K,Salem,OR,USA,Food,Baking Goods,Baking Goods,5,7.01
130,2022,484,F,M,Y,3,$90K - $110K,Salem,OR,USA,Food,Canned Foods,Canned Tuna,5,9.59
131,2022,7075,F,M,Y,3,$90K - $110K,Seattle,WA,USA,Food,Dairy,Dairy,3,21.53
132,2022,5973,M,M,Y,2,$90K - $110K,Bremerton,WA,USA,Food,Snacks,Candy,5,31.13
133,2022,1900,F,S,Y,3,$130K - $150K,Beverly Hills,CA,USA,Food,Produce,Fruit,2,6.32
134,2022,8154,F,S,Y,5,$130K - $150K,Los Angeles,CA,USA,Non-Consumable,Household,Paper Products,5,20.4
135,2022,7263,M,S,Y,3,$10K - $30K,Portland,OR,USA,Food,Baked Goods,Bread,4,20.27
136,2022,7694,F,S,Y,2,$130K - $150K,Salem,OR,USA,Food,Snack Foods,Snack Foods,4,19.4
137,2022,8091,F,S,Y,4,$90K - $110K,Salem,OR,USA,Drink,Alcoholic Beverages,Beer and Wine,4,8.06
138,2022,8259,F,M,Y,0,$10K - $30K,Seattle,WA,USA,Non-Consumable,Health and Hygiene,Bathroom Products,2,6.24
139,2022,3334,F,M,Y,2,$70K - $90K,Tacoma,WA,USA,Food,Produce,Vegetables,5,12.18
140,2022,8731,F,M,N,1,$50K - $70K,Bremerton,WA,USA,Food,Starchy Foods,Starchy Foods,5,18.84
141,2022,2019,M,S,N,4,$10K - $30K,Spokane,WA,USA,Non-Consumable,Household,Electrical,5,30.19
142,2022,2775,F,M,Y,4,$70K - $90K,San Diego,CA,USA,Food,Snack Foods,Snack Foods,6,4.31
143,2022,7743,F,S,N,0,$30K - $50K,Bremerton,WA,USA,Food,Frozen Foods,Frozen Desserts,5,31.7
144,2022,4021,M,M,N,3,$30K - $50K,Spokane,WA,USA,Food,Snack Foods,Snack Foods,4,8.8
145,2022,6518,M,M,Y,3,$30K - $50K,Beverly Hills,CA,USA,Food,Dairy,Dairy,5,4.97
146,2022,1748,F,S,N,1,$10K - $30K,Los Angeles,CA,USA,Food,Produce,Vegetables,4,26.5
147,2022,2673,M,M,Y,5,$50K - $70K,Portland,OR,USA,Food,Snack Foods,Snack Foods,3,23.06
148,2022,7359,F,M,N,4,$10K - $30K,Salem,OR,USA,Food,Frozen Foods,Pizza,5,15.18
149,2022,8452,M,M,N,4,$130K - $150K,Spokane,WA,USA,Food,Produce,Fruit,5,21.22
150,2022,6957,F,S,N,2,$30K - $50K,Spokane,WA,USA,Food,Snack Foods,Snack Foods,4,11.34
151,2022,7075,F,M,Y,3,$90K - $110K,Seattle,WA,USA,Food,Snack Foods,Snack Foods,4,11.49
152,2022,6647,M,S,Y,3,$30K - $50K,Tacoma,WA,USA,Food,Produce,Fruit,5,19.12
153,2022,4564,M,S,N,4,$10K - $30K,Tacoma,WA,USA,Food,Frozen Foods,Frozen Desserts,2,16.62
154,2022,5898,M,S,N,2,$10K - $30K,Bremerton,WA,USA,Food,Dairy,Dairy,3,12.15
155,2022,8269,F,S,N,4,$30K - $50K,Salem,OR,USA,Food,Frozen Foods,Frozen Desserts,5,23.27
156,2022,1906,M,M,Y,1,$50K - $70K,Beverly Hills,CA,USA,Food,Baked Goods,Bread,5,11.5
157,2022,6439,F,S,N,3,$30K - $50K,Los Angeles,CA,USA,Food,Dairy,Dairy,6,29.3
158,2022,5230,M,M,Y,3,$30K - $50K,Salem,OR,USA,Non-Consumable,Household,Cleaning Supplies,6,14.02
159,2022,1249,F,S,N,2,$30K - $50K,Seattle,WA,USA,Food,Starchy Foods,Starchy Foods,4,28.37
160,2022,4552,M,M,Y,2,$10K - $30K,Tacoma,WA,USA,Food,Frozen Foods,Pizza,4,22.38
161,2022,4727,F,M,Y,4,$150K +,Spokane,WA,USA,Food,Snack Foods,Snack Foods,5,25.65
162,2022,7781,M,S,N,2,$50K - $70K,Seattle,WA,USA,Non-Consumable,Health and Hygiene,Decongestants,5,18.69
163,2022,3567,M,M,Y,1,$70K - $90K,Spokane,WA,USA,Food,Baking Goods,Jams and Jellies,4,16.61
164,2022,8818,M,S,N,2,$30K - $50K,Seattle,WA,USA,Food,Baking Goods,Jams and Jellies,5,20.22
165,2022,5238,M,S,Y,3,$10K - $30K,Tacoma,WA,USA,Food,Snack Foods,Snack Foods,2,11.22
166,2022,2035,F,M,N,5,$50K - $70K,Seattle,WA,USA,Food,Baking Goods,Jams and Jellies,5,29
167,2022,3132,F,S,N,4,$70K - $90K,Seattle,WA,USA,Food,Produce,Vegetables,6,15.73
168,2022,8147,M,M,Y,3,$130K - $150K,Bellingham,WA,USA,Non-Consumable,Health and Hygiene,Bathroom Products,3,2.92
169,2022,5388,M,M,Y,4,$70K - $90K,Portland,OR,USA,Food,Snacks,Candy,2,15.33
170,2022,8830,F,S,Y,0,$30K - $50K,San Francisco,CA,USA,Food,Produce,Specialty,1,2.63
171,2022,3776,F,S,N,4,$30K - $50K,Salem,OR,USA,Food,Frozen Foods,Meat,3,6.7
172,2022,8220,F,S,N,2,$30K - $50K,San Diego,CA,USA,Food,Produce,Vegetables,3,22.53
173,2022,1193,F,S,Y,0,$90K - $110K,Salem,OR,USA,Food,Frozen Foods,Pizza,6,7.64
174,2022,9810,M,S,N,3,$10K - $30K,San Diego,CA,USA,Food,Frozen Foods,Frozen Desserts,6,6.46
175,2022,5026,M,S,N,5,$30K - $50K,Tacoma,WA,USA,Food,Baked Goods,Bread,3,3.02
176,2022,2398,F,S,N,4,$50K - $70K,Salem,OR,USA,Drink,Alcoholic Beverages,Beer and Wine,3,4.05
177,2022,7845,F,M,N,5,$70K - $90K,Salem,OR,USA,Food,Deli,Side Dishes,2,6.62
178,2022,4445,F,S,Y,2,$50K - $70K,Tacoma,WA,USA,Food,Snack Foods,Snack Foods,5,23.32
179,2022,2921,F,S,Y,4,$30K - $50K,Spokane,WA,USA,Food,Snack Foods,Snack Foods,3,9.59
180,2022,6079,F,M,Y,3,$70K - $90K,Salem,OR,USA,Non-Consumable,Health and Hygiene,Hygiene,4,4.99
181,2022,3242,F,S,N,3,$10K - $30K,Bremerton,WA,USA,Drink,Beverages,Carbonated Beverages,5,3.63
182,2022,4066,F,M,Y,3,$130K - $150K,Bremerton,WA,USA,Food,Snack Foods,Snack Foods,3,6.93
183,2022,8291,F,M,Y,2,$30K - $50K,Salem,OR,USA,Food,Frozen Foods,Meat,3,16.3
184,2022,5991,M,M,Y,1,$50K - $70K,Bremerton,WA,USA,Non-Consumable,Household,Cleaning Supplies,4,17.46
185,2022,7446,M,M,N,1,$30K - $50K,Salem,OR,USA,Food,Frozen Foods,Meat,3,9.05
186,2022,2251,M,M,N,0,$30K - $50K,Salem,OR,USA,Food,Meat,Meat,4,2.68
187,2022,3001,F,M,N,1,$30K - $50K,Salem,OR,USA,Food,Produce,Vegetables,4,44.78
188,2022,7823,F,M,Y,5,$10K - $30K,Los Angeles,CA,USA,Food,Deli,Side Dishes,6,8.06
189,2022,9129,F,S,Y,0,$110K - $130K,Seattle,WA,USA,Food,Baking Goods,Jams and Jellies,6,2.95
190,2022,8060,M,S,N,4,$50K - $70K,Walla Walla,WA,USA,Food,Produce,Vegetables,1,1.65
191,2022,2361,M,S,N,3,$10K - $30K,San Diego,CA,USA,Food,Deli,Meat,3,4.43
192,2022,4016,F,M,N,5,$70K - $90K,Los Angeles,CA,USA,Food,Produce,Vegetables,5,5.24
193,2022,1313,F,M,Y,1,$30K - $50K,Seattle,WA,USA,Food,Frozen Foods,Frozen Desserts,4,8.3
194,2022,304,M,M,Y,1,$90K - $110K,Salem,OR,USA,Non-Consumable,Household,Cleaning Supplies,4,19.05
195,2022,2143,M,S,N,3,$10K - $30K,Tacoma,WA,USA,Food,Baking Goods,Baking Goods,2,7.45
196,2022,878,F,S,N,0,$10K - $30K,Bremerton,WA,USA,Non-Consumable,Household,Plastic Products,4,15.22
197,2022,2313,F,M,Y,3,$10K - $30K,San Diego,CA,USA,Food,Canned Foods,Canned Sardines,4,10.8
198,2022,363,F,M,Y,4,$130K - $150K,Los Angeles,CA,USA,Food,Deli,Meat,6,30.91
199,2022,3412,M,S,N,5,$30K - $50K,Portland,OR,USA,Non-Consumable,Health and Hygiene,Decongestants,3,16.79
200,2022,5016,M,M,Y,5,$70K - $90K,Los Angeles,CA,USA,Food,Deli,Meat,3,13.86
201,2022,4727,F,M,Y,4,$150K +,Spokane,WA,USA,Food,Snack Foods,Snack Foods,5,6.6
202,2022,3776,F,S,N,4,$30K - $50K,Salem,OR,USA,Non-Consumable,Household,Electrical,4,7.49
203,2022,9826,M,S,Y,4,$70K - $90K,Salem,OR,USA,Food,Produce,Vegetables,4,10.88
204,2022,3773,F,S,Y,1,$110K - $130K,Tacoma,WA,USA,Food,Produce,Vegetables,5,9.01
205,2022,9263,F,M,Y,2,$30K - $50K,Spokane,WA,USA,Food,Canned Foods,Canned Tuna,3,8.63
206,2022,9306,M,M,Y,4,$50K - $70K,San Diego,CA,USA,Non-Consumable,Health and Hygiene,Bathroom Products,3,7.81
207,2022,7149,F,S,Y,4,$10K - $30K,Salem,OR,USA,Food,Produce,Fruit,4,2.63
208,2022,2158,M,M,Y,3,$10K - $30K,Portland,OR,USA,Food,Produce,Vegetables,4,13.68
209,2022,213,F,S,Y,3,$30K - $50K,Los Angeles,CA,USA,Non-Consumable,Household,Kitchen Products,3,25.29
210,2022,3446,F,S,Y,4,$30K - $50K,Walla Walla,WA,USA,Food,Snack Foods,Snack Foods,3,13.06
211,2022,8606,F,M,N,2,$110K - $130K,Seattle,WA,USA,Food,Canned Foods,Canned Sardines,4,15.12
212,2022,976,F,M,Y,5,$70K - $90K,Spokane,WA,USA,Non-Consumable,Household,Paper Products,3,10.71
213,2022,5734,M,M,Y,3,$30K - $50K,Salem,OR,USA,Food,Canned Foods,Vegetables,3,6.4
214,2022,9264,F,M,N,4,$90K - $110K,San Diego,CA,USA,Drink,Beverages,Carbonated Beverages,4,26.68
215,2022,4670,M,S,Y,1,$30K - $50K,Tacoma,WA,USA,Food,Baking Goods,Baking Goods,3,11.47
216,2022,8342,F,M,Y,2,$70K - $90K,San Diego,CA,USA,Food,Baking Goods,Baking Goods,4,8.12
217,2022,4457,M,S,N,2,$30K - $50K,Walla Walla,WA,USA,Food,Snack Foods,Snack Foods,2,5.34
218,2022,1741,M,M,Y,4,$70K - $90K,Portland,OR,USA,Food,Dairy,Dairy,3,4.75
219,2022,9014,F,S,N,1,$50K - $70K,Salem,OR,USA,Food,Canned Foods,Canned Soup,4,4.22
220,2022,6866,F,M,N,5,$10K - $30K,Tacoma,WA,USA,Food,Canned Products,Fruit,5,9.13
221,2022,2878,F,M,Y,4,$30K - $50K,Bremerton,WA,USA,Food,Deli,Meat,3,17.22
222,2022,9551,M,M,N,2,$10K - $30K,San Diego,CA,USA,Drink,Beverages,Carbonated Beverages,5,2.31
223,2022,3799,F,S,Y,2,$30K - $50K,Salem,OR,USA,Non-Consumable,Carousel,Specialty,6,23.92
224,2022,9469,F,S,Y,1,$10K - $30K,Tacoma,WA,USA,Non-Consumable,Household,Kitchen Products,5,11.35
225,2022,4813,F,M,N,1,$70K - $90K,Los Angeles,CA,USA,Food,Eggs,Eggs,3,26.5
226,2022,5358,F,M,Y,1,$150K +,Bremerton,WA,USA,Food,Frozen Foods,Vegetables,5,7.04
227,2022,6866,F,M,N,5,$10K - $30K,Tacoma,WA,USA,Food,Frozen Foods,Frozen Desserts,3,7.76
228,2022,1387,F,M,Y,1,$70K - $90K,Portland,OR,USA,Food,Baking Goods,Baking Goods,2,5.56
229,2022,7617,F,M,N,3,$10K - $30K,Portland,OR,USA,Drink,Alcoholic Beverages,Beer and Wine,4,10.72
230,2022,1965,F,M,Y,3,$30K - $50K,Tacoma,WA,USA,Food,Dairy,Dairy,5,17.16
231,2022,2878,F,M,Y,4,$30K - $50K,Bremerton,WA,USA,Food,Canned Foods,Canned Soup,4,6.23
232,2022,5476,M,M,Y,4,$50K - $70K,Salem,OR,USA,Food,Frozen Foods,Vegetables,5,19.52
233,2022,2664,F,S,Y,3,$50K - $70K,Tacoma,WA,USA,Food,Baking Goods,Baking Goods,2,2.75
234,2022,10161,M,S,N,0,$30K - $50K,Beverly Hills,CA,USA,Food,Deli,Meat,5,3.04
235,2022,10240,F,S,Y,3,$130K - $150K,Bremerton,WA,USA,Food,Baking Goods,Baking Goods,3,8.66
236,2022,9175,F,S,Y,2,$90K - $110K,San Diego,CA,USA,Food,Frozen Foods,Pizza,4,23.13
237,2022,3667,F,S,Y,2,$50K - $70K,Seattle,WA,USA,Food,Snack Foods,Snack Foods,6,7.84
